Datum;Dan u tj.;Doručak;Kalorije (kcal);Ručak;Kalorije (kcal).1;Večera;Kalorije (kcal).2;Ukupno;Potrošio;Aktivnost;Kcal Potrošeno;Kg;;;;;
13.sij;PON;Sendvič (piletina, sirić i salata);460;Bijelo Meso (na kockice, 250g);515;Kajgano jaja (3x, pecivo i salama);550;1525;2000;;;;;;;;
14.sij;UTO;Sendvič (salama, sirić) + malo pizze;590;Muffini od jaja (jaja, sir i špinat) + malo salama;480;Sendvič (salama, sirić, salata) ;465;1535;2000;;;;;;;;
15.sij;SRI;1/2 Sendvič (salama, sirić, salata i 3x Muffini od jaja);345;Popečci od zobi + rizi bizi (+kuglice između);450;2x Sendvič (salama, sirić, salata) ;930;1725;2000;;;;;;;;
16.sij;ČET;Sendvič (salama, sirić);460;Losos + krumpir i bltiva;360;2x Sendvič (salama, sirić);920;1740;2200;;;;;;;;
17.sij;PET;Sendvič (piletina, sirić);450;Fašranci + mahune i mrkva;675;2x Sendvič (piletina, sirić);900;2025;2200;;;;;;;;
18.sij;SUB;Sendvič (piletina, sirić) + banana;555;Kobasica + kruh, juha;500;3x Jaje preklapa;480;1535;2000;;;;;;;;
19.sij;NED;Pohani kruh + vrhnje;420;4x Pureća prsa u kornfleksu + ketchup;600;1.5x Sendvič (Puretina, sirić);760;1780;2000;;;;;;;;
20.sij;PON;2x Sendvič (salama, sirić);900;3x Pureća prsa u kornfleksu + ketchup;475;Pecivo (pašteta);250;1625;2000;;;;;;;;
21.sij;UTO;2x Sendvič (salama, sirić);900;Grašak, hrenovke;580;5x grisini;110;1590;2000;;;;;;;;
22.sij;SRI;Sendvič (salama, sirić) + sendvič (pašteta);710;Bijelo meso (na kockice) + batat;595;5x grisini;110;1415;2000;;;;;;;;
23.sij;ČET;2x Sednvič (salama, sirić);900;Burek;750;/;0;1650;2000;;;;;;;;
24.sij;PET;Topli sendvič (tost, salama, sirić);440;2x Topli sendvič (tost, salama, sirić);880;Fašranci, Varivo proiluk (malo);360;1680;2000;;;;;;;;
25.sij;SUB;Sendvič (faširananc, sirić, salata);390;3/4 integralna pizza;780;Ivo -> rođendan (pizza 4-5);925;2095;2300;;;;;;;;
26.sij;NED;Sendvič (salama, sirić, salata);460;Batkovi i zabacti (uz vrhnje) + juha;450;5x grisini + sendvič (sa, si, ketchup);650;1560;2000;;;;;;;;
27.sij;PON;Sendvič (salama, sirić) + sendvič (pašteta);710;4x Faširanca + ketchup;770;2x Banana;220;1700;2000;;;;;;;;
28.sij;UTO;Sendvič (faširananc, sirić, salata) + banana;535;Kajgano + salama + pecivo;700;Sendvič (salama, sirić, ketchup) ;490;1725;2000;;;;;;;;
29.sij;SRI;Sendvič (salama, sirić) + sendvič (pašteta);710;Juha + malo pečene kobasice + vrhnje;430;Banana + sendvič (sirić, salama);560;1700;2000;;;;;;;;
30.sij;ČET;Sendvič (salama, sirić) + sendvič (pašteta);710;Salata s b. mesom, mozzarelom i dvopekom;580;/;0;1290;2000;;;;;;;;
31.sij;PET;Sendvič (salama, sirić) + sendvič (pašteta);710;Kajgano + salama + pecivo;770;/;0;1480;2000;;;;;;;;
1.vlj;SUB;Sendvič (sirić, salama);450;Salata s b. mesom, mozzarelom i dvopekom;540;Sendvič (salama, sririć ,maldi luk);460;1450;2000;;;;;;;;
2.vlj;NED;Sendvič (salama, sirić, sir, mladi luk) + čaj;540;Juga + mesna štruca;710;Sendvič (pašteta) + jabuka;360;1610;2000;;;;;;;;
3.vlj;PON;Čaj + 2x sendvič (pašteta);570;Batkovi i zabacti (uz rižu i 1/2 pevcio) + juha;320;/;0;890;2000;;;;;;;;
4.vlj;UTO;Čaj + sendvič (pašteta) + sendvič (salama, sirić);750;Grah + 3 komada kruha + sendvič (pašt, sal);895;malo banane + sendvič (sirić, sal);480;2125;2000;;;;;;;;
5.vlj;SRI;Sendvič (salama, sirić) + čaj;490;Grah + pecivo;300;Grah + pecivo + čaj;340;1130;2000;;;;;;;;
6.vlj;ČET;Sendvič (salama, sirić) + čaj + sendvič (sirić);760;Špageti (1x porcija);755;Sendvič (sirić) ;260;1775;2000;;;;;;;;
7.vlj;PET;Sendvič (salama, prot. sir) + čaj + sendvič (ssk);860;1x smotuljak (sa sirom);210;2x Sendvič (salama, proteinski sir);760;1830;2000;;;;;;;;
8.vlj;SUB;2x Sendvič (čajna, sirić, ketchup);620;Kajgano + kruh + malo čajne;410;3x Mekike s piletinom i salatom;1035;2065;2000;;;;;;;;
9.vlj;NED;2x Sendvič (čajna, sirić, ketchup);680;Kuhana-pečena puretina + pire + juha;425;2x Sendvič (čajna, sirić, ketchup);680;1785;2000;;;;;;;;
10.vlj;PON;2x Sendvič (salama, poteinski sir, salata);770;Palačinke s mesom i grahom;765;Palačinke s mesom i grahom;510;2045;2000;;;;;;;;
11.vlj;UTO;Sendvič (salama, proteinski sir) + sendvič (pašteta);640;Kroketi + batat;555;2x Sendvič (pašteta);520;1715;2000;;;;;;;;
12.vlj;SRI;Sendvič (salama, proteinski sir) + sendvič (pašteta);640;Mahune + kobasica + kruh;435;2x Sendvič (pašteta);560;1635;2000;;;;;;;;
13.vlj;ČET;Sendvič (sal, prot sir) + sendvič (pašteta) + kuglice;845;B. meso + salata + vrhnje;470;Sendvič (pašteta) + kuglice;410;1725;2000;;;;;;;;
