Datum;Dan u tj.;Doručak;Doručak (kcal);Ručak;Ručak (kcal);Večera;Večera (kcal);Ukupno;Potrošio;Aktivnost;Aktivnost (kcal);Tjelesna masa (kg)
2020-01-13;PON;Sendvič (piletina, sirić i salata);460.0;Bijelo Meso (na kockice, 250g);515.0;Kajgano jaja (3x, pecivo i salama);550.0;1525;2000;;;
2020-01-14;UTO;Sendvič (salama, sirić) + malo pizze;590.0;Muffini od jaja (jaja, sir i špinat) + malo salama;480.0;Sendvič (salama, sirić, salata) ;465.0;1535;2000;;;
2020-01-15;SRI;1/2 Sendvič (salama, sirić, salata i 3x Muffini od jaja);345.0;Popečci od zobi + rizi bizi (+kuglice između);450.0;2x Sendvič (salama, sirić, salata) ;930.0;1725;2000;;;
2020-01-16;ČET;Sendvič (salama, sirić);460.0;Losos + krumpir i bltiva;360.0;2x Sendvič (salama, sirić);920.0;1740;2200;;;
2020-01-17;PET;Sendvič (piletina, sirić);450.0;Fašranci + mahune i mrkva;675.0;2x Sendvič (piletina, sirić);900.0;2025;2200;;;
2020-01-18;SUB;Sendvič (piletina, sirić) + banana;555.0;Kobasica + kruh, juha;500.0;3x Jaje preklapa;480.0;1535;2000;;;
2020-01-19;NED;Pohani kruh + vrhnje;420.0;4x Pureća prsa u kornfleksu + ketchup;600.0;1.5x Sendvič (Puretina, sirić);760.0;1780;2000;;;
2020-01-20;PON;2x Sendvič (salama, sirić);900.0;3x Pureća prsa u kornfleksu + ketchup;475.0;Pecivo (pašteta);250.0;1625;2000;;;
2020-01-21;UTO;2x Sendvič (salama, sirić);900.0;Grašak, hrenovke;580.0;5x grisini;110.0;1590;2000;;;
2020-01-22;SRI;Sendvič (salama, sirić) + sendvič (pašteta);710.0;Bijelo meso (na kockice) + batat;595.0;5x grisini;110.0;1415;2000;;;
2020-01-23;ČET;2x Sednvič (salama, sirić);900.0;Burek;750.0;/;0.0;1650;2000;;;
2020-01-24;PET;Topli sendvič (tost, salama, sirić);440.0;2x Topli sendvič (tost, salama, sirić);880.0;Fašranci, Varivo proiluk (malo);360.0;1680;2000;;;
2020-01-25;SUB;Sendvič (faširananc, sirić, salata);390.0;3/4 integralna pizza;780.0;Ivo -> rođendan (pizza 4-5);925.0;2095;2300;;;
2020-01-26;NED;Sendvič (salama, sirić, salata);460.0;Batkovi i zabacti (uz vrhnje) + juha;450.0;5x grisini + sendvič (sa, si, ketchup);650.0;1560;2000;;;
2020-01-27;PON;Sendvič (salama, sirić) + sendvič (pašteta);710.0;4x Faširanca + ketchup;770.0;2x Banana;220.0;1700;2000;;;
2020-01-28;UTO;Sendvič (faširananc, sirić, salata) + banana;535.0;Kajgano + salama + pecivo;700.0;Sendvič (salama, sirić, ketchup) ;490.0;1725;2000;;;
2020-01-29;SRI;Sendvič (salama, sirić) + sendvič (pašteta);710.0;Juha + malo pečene kobasice + vrhnje;430.0;Banana + sendvič (sirić, salama);560.0;1700;2000;;;
2020-01-30;ČET;Sendvič (salama, sirić) + sendvič (pašteta);710.0;Salata s b. mesom, mozzarelom i dvopekom;580.0;/;0.0;1290;2000;;;
2020-01-31;PET;Sendvič (salama, sirić) + sendvič (pašteta);710.0;Kajgano + salama + pecivo;770.0;/;0.0;1480;2000;;;
2020-02-01;SUB;Sendvič (sirić, salama);450.0;Salata s b. mesom, mozzarelom i dvopekom;540.0;Sendvič (salama, sririć ,maldi luk);460.0;1450;2000;;;
2020-02-02;NED;Sendvič (salama, sirić, sir, mladi luk) + čaj;540.0;Juga + mesna štruca;710.0;Sendvič (pašteta) + jabuka;360.0;1610;2000;;;
2020-02-03;PON;Čaj + 2x sendvič (pašteta);570.0;Batkovi i zabacti (uz rižu i 1/2 pevcio) + juha;320.0;/;0.0;890;2000;;;
